2018-11-11 17:26:32.7575 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 17:26:32.7575 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 17:26:32.7575 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 17:26:32.7575 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-11 17:27:44.3618 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 17:27:44.4066 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 17:27:44.4066 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 17:27:44.4535 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 17:27:44.4535 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 17:27:44.4565 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 17:27:44.4565 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
2018-11-11 17:28:19.4080 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | 
2018-11-11 17:28:19.4549 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Started new Programm
2018-11-11 17:28:19.4579 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created ButtonViewModel
2018-11-11 17:28:19.6085 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created LabelViewModel
2018-11-11 17:28:19.6085 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created MenuBarViewModel
2018-11-11 17:28:19.6085 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created SettingsViewModel
2018-11-11 17:28:19.6135 | INFO  | TestWpf.Visualization.ViewModels.MainViewModel | Created GaugeViewModel
